user_id,gender,age,occupation,zip_code,zip_code_2
1,F,1,10,48067,48
2,M,56,16,70072,70
3,M,25,15,55117,55
4,M,45,7,02460,02
5,M,25,20,55455,55
6,F,50,9,55117,55
7,M,35,1,06810,06
8,M,25,12,11413,11
9,M,25,17,61614,61
10,F,35,1,95370,95
11,F,25,1,04093,04
12,M,25,12,32793,32
13,M,45,1,93304,93
14,M,35,0,60126,60
15,M,25,7,22903,22
16,F,35,0,20670,20
17,M,50,1,95350,95
18,F,18,3,95825,95
19,M,1,10,48073,48
20,M,25,14,55113,55
21,M,18,16,99353,99
22,M,18,15,53706,53
23,M,35,0,90049,90
24,F,25,7,10023,10
25,M,18,4,01609,01
26,M,25,7,23112,23
27,M,25,11,19130,19
28,F,25,1,14607,14
29,M,35,7,33407,33
30,F,35,7,19143,19
31,M,56,7,06840,06
32,F,25,0,19355,19
33,M,45,3,55421,55
34,F,18,0,02135,02
35,M,45,1,02482,02
36,M,25,3,94123,94
37,F,25,9,66212,66
38,F,18,4,02215,02
39,M,18,4,61820,61
40,M,45,0,10543,10
41,F,18,4,15116,15
42,M,25,8,24502,24
43,M,25,12,60614,60
44,M,45,17,98052,98
45,F,45,16,94110,94
46,M,18,19,75602,75
47,M,18,4,94305,94
48,M,25,4,92107,92
49,M,18,12,77084,77
50,F,25,2,98133,98
51,F,1,10,10562,10
52,M,18,4,72212,72
53,M,25,0,96931,96
54,M,50,1,56723,56
55,F,35,12,55303,55
56,M,35,20,60440,60
57,M,18,19,30350,30
58,M,25,2,30303,30
59,F,50,1,55413,55
60,M,50,1,72118,72
61,M,25,17,95122,95
62,F,35,3,98105,98
63,M,18,4,54902,54
64,M,18,1,53706,53
65,M,35,12,55803,55
66,M,25,18,57706,57
67,F,50,5,60181,60
68,M,18,4,53706,53
69,F,25,1,02143,02
70,M,18,4,53703,53
71,M,25,14,95008,95
72,F,45,0,55122,55
73,M,18,4,53706,53
74,M,35,14,94530,94
75,F,1,10,01748,01
76,M,35,7,55413,55
77,M,18,4,15321,15
78,F,45,1,98029,98
79,F,45,0,98103,98
80,M,56,1,49327,49
